C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_15_766.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_15_766.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_15_766.jpg, 0, 0, 0, 8.121258E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_15_981.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_15_981.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_15_981.jpg, 0, 0, 0, 7.827648E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_115.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_115.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_115.jpg, 0, 0, 0, 7.819118E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_252.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_252.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_252.jpg, 0, 0, 0, 8.215032E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_376.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_376.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_376.jpg, 0, 0, 0, 7.833242E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_513.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_513.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_513.jpg, 0, 0, 0, 8.040241E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_646.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_646.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_646.jpg, 0, 0, 0, 7.832587E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_772.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_772.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_772.jpg, 0, 0, 0, 7.887292E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_16_890.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_16_890.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_16_890.jpg, 0, 0, 0, 7.764592E-05
C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\center_2022_02_12_08_03_17_018.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\left_2022_02_12_08_03_17_018.jpg, C:\Storage\Udemy\2_Self_driving_car\udacity_data\IMG\right_2022_02_12_08_03_17_018.jpg, 0, 0, 0, 7.817458E-05
